ID,Version,Conclusion,ConclusionConfidence,ConclusionACC,MagicNumber.SelfReport,EqualSpacing.SelfReport,SupportingPlot.33dataACC,SupportingPlot.33data.Confidence,RefutingPlot.33dataACC,RefutingPlot.33data.Confidence,SupportingPlot.220dataACC,SupportingPlot.220data.Confidence,RefutingPlot.220dataACC,RefutingPlot.220data.Confidence,Age,Gender,Iteration,Familiar,GeoIdentity,Bachelors,YearsUG,MajorUG,MinorUG,YearsPractice,GeoSpecialization,AcademicPosition
14432228.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,45,male,1,0,all of the above,1,"","","",27,rheology,Full Professor
15240948.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Very confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,64,male,1,1,Field Geoscientist,1,"","","",43,structural geology,Emeritus
22375511.json,Alternative,Hypothesis Not Supported,Slightly confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,52,female,1,0,Lab Geoscientist,1,"","","",25,tectonics,Full Professor
23299149.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Very confident in this conclusion,0,Very confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,38,male,1,0,Lab Geoscientist,1,"","","",16,Geochemistry/Geochronology,Assistant Professor
28074220.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,0,1,Very confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,48,male,1,1,Field Geoscientist,1,"","","",20,structural geology,Associate Professor
42776583.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,0,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Slightly confident in this conclusion,51,male,1,1,Field Geoscientist,1,"","","",25,Geoscience education research,Associate Professor
45431255.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,0,1,Moderately confident in this conclusion,1,Not at all confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,,male,1,1,Computational Geoscientist,1,"","","",10,geochemistry/geophysics,Postdoctoral
58784411.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,0,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,65,female,1,0,geoscience education researcher,1,"","","",38,geoscience education research,Emeritus
71319116.json,Alternative,Hypothesis Supported,Slightly confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,0,Not at all confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,46,female,1,0,Field Geoscientist,1,"","","",23,structural geology,Associate Professor
77520674.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Not at all confident in this conclusion,0,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,40,male,1,0,Field Geoscientist,1,"","","",16,Structural Geology,Assistant Professor
82399189.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,39,male,1,1,field-lab,1,"","","",18,geomorphology,Assistant Professor
82839541.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,46,male,1,0,Lab Geoscientist,1,"","","",24,Hard rock petrology,Industry
83386066.json,Alternative,Hypothesis Supported,Very confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,36,female,1,0,Field Geoscientist,1,"","","",12,structural,Assistant Professor
90086100.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,0,0,1,Very confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,30,male,1,0,Computational Geoscientist,1,"","","",6,Arctic climate,Graduate Student
1583193385731.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,45,female,1,0,Field Geoscientist,1,"","","",20,Structural geology,Associate Professor
1585589311666.json,Null,Hypothesis Not Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,19,female,2,0,"",0,2,Geology,N/A,0,"",""
1585589948025.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,22,male,2,0,"",0,3.5,Geophysics,Mathematics,0,"",""
1585676430169.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,20,male,2,0,"",0,1.5,Geology,Math,0,"",""
1585752031323.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,0,0,1,Very confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Slightly confident in this conclusion,27,male,2,1,Lab Geoscientist,1,"","","",0,Hydro-geology/Granular Physics,Student
1585849879621.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Slightly confident in this conclusion,0,Slightly confident in this conclusion,0,Slightly confident in this conclusion,21,female,2,0,"",0,2,Geology ,-,0,"",""
1586969203252.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,30,male,2,0,Field Geoscientist,1,"","","",8,Geochemistry,Postdoctoral
1587010200660.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,0,1,1,Very confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,21,male,2,0,"",0,3,Geology,N/A,0,"",""
1587094272760.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Very confident in this conclusion,0,Very confident in this conclusion,1,Moderately confident in this conclusion,0,Very confident in this conclusion,24,male,2,0,Field Geoscientist,1,"","","",2,Paleontology,Graduate Students
1589205081687.json,Null,Hypothesis Not Supported,Slightly confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,30,female,2,0,"",1,"","","",6,"",""
1589986003069.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,22,male,2,0,Computational Geoscientist,1,"","","",1,Near-surface hydrogeophysics,Graduate Students
1590092884324.json,Alternative,Hypothesis Supported,Slightly confident in my conclusion,Incorrect,1,1,0,Slightly confident in this conclusion,0,Slightly confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,26,female,2,0,"",0,3,Geology,N/A,0,"",""
1590520586325.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,24,female,2,0,Field Geoscientist,1,"","","",0,Environmental ,Graduate Students
1591008806675.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,30,male,2,1,Field Geoscientist,1,"","","",3,Faults and fluid flow - environmental geosciences,Graduate Students
1591026198006.json,Null,Hypothesis Supported,Slightly confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,30,male,2,0,Field Geoscientist,1,"","","",4,Structural geology (Fault and fractures),Postdoctoral
1591223988481.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,27,male,2,1,Lab Geoscientist,1,"","","",4,Seismology,Graduate Students
1591276928709.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,24,male,2,0,Field Geoscientist,1,"","","",2,Fluvial sedimentology,Graduate Students
1591813810309.json,Alternative,Hypothesis Not Supported,Slightly confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Slightly confident in this conclusion,24,male,2,0,Field Geoscientist,1,"","","",1,Sedimentology,Graduate Students
1592392156413.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Very confident in this conclusion,33,female,2,0,other,1,"","","",12,geoenergy ,Assistant Professor
1592855181400.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,41,male,2,0,Field Geoscientist,1,"","","",10,earthquake geology,Associate Professor
1592855247619.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,0,1,Slightly confident in this conclusion,0,Moderately confident in this conclusion,1,Slightly confident in this conclusion,0,Moderately confident in this conclusion,52,male,2,0,Field Geoscientist,1,"","","",30,Geotechnics,Associate Professor
1592855262696.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,0,0,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,29,female,2,1,Field Geoscientist,1,"","","",8,Tectonics,Postdoctoral
1592855880739.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Very confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,40,male,2,0,Lab Geoscientist,1,"","","",18,Petrology,Adjunct
1592856791709.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Not at all confident in this conclusion,25,female,2,0,Lab Geoscientist,1,"","","",1,Structural Geology,Graduate Students
1592856888631.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Slightly confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,42,male,2,1,other,1,"","","",20,Structural geology,Assistant Professor
1592858044241.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,28,female,2,0,Field Geoscientist,1,"","","",6,Magnetics,Government
1592860543761.json,Null,Hypothesis Not Supported,Very confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,1,Not at all confident in this conclusion,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,33,female,2,1,other,1,"","","",8,Metamorphic Petrology,I'm interested in work as a geology collections manager.
1592861825629.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Slightly confident in this conclusion,35,female,2,0,Computational Geoscientist,1,"","","",10,Geophysics,Postdoctoral
1592861857839.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,27,female,2,0,Field Geoscientist,1,"","","",0,Structural geology - brittle deformation,Graduate Students
1592862833109.json,Null,Hypothesis Not Supported,Moderately confident in my conclusion,Incorrect,1,0,1,Moderately confident in this conclusion,0,Slightly confident in this conclusion,1,Moderately confident in this conclusion,0,Moderately confident in this conclusion,45,male,2,1,Field Geoscientist,1,"","","",20,Structural Geology,Industry
1592865277247.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,0,Very confident in this conclusion,65,female,2,1,Field Geoscientist,1,"","","",45,Coal mining geology,Industry
1592866257663.json,Null,Hypothesis Supported,Very confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,0,Very confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,35,male,2,0,Field Geoscientist,1,"","","",11,Tectonochemistry,Assistant Professor
1592866998514.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Not at all confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,63,male,2,0,other,1,"","","",40,Structural geology and hydrocarbon exploration ,Both
1592867506102.json,Null,Hypothesis Supported,Moderately confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Slightly confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,18,male,2,0,"",0,0,Geology,Biology,0,"",""
1592869775947.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,0,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,31,male,2,1,Field Geoscientist,1,"","","",3,Tectonics,Graduate Students
1592870684331.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,0,Moderately confident in this conclusion,25,male,2,0,Computational Geoscientist,1,"","","",0,Seismology,Out of industry
1592881202024.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,1,1,1,Very confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,1,Moderately confident in this conclusion,,male,2,0,Field Geoscientist,1,"","","",9,Tectonics and Structural Geology,Graduate Students
1592894931507.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Slightly confident in this conclusion,0,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,32,female,2,0,Field Geoscientist,1,"","","",10,Paleomagnetism,Postdoctoral
1592895912483.json,Alternative,Hypothesis Supported,Moderately confident in my conclusion,Incorrect,1,1,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Very confident in this conclusion,1,Very confident in this conclusion,40,female,2,0,Computational Geoscientist,1,"","","",18,Structural geology,"ex-academia and ex-industry, currently unemployed"
1592899206181.json,Null,Hypothesis Supported,Slightly confident in my conclusion,Correct,0,1,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,1,Slightly confident in this conclusion,32,female,2,0,Lab Geoscientist,1,"","","",17,organic geochemistry,unemployed
1592899663788.json,Alternative,Hypothesis Not Supported,Moderately confident in my conclusion,Correct,0,1,1,Slightly confident in this conclusion,1,Very confident in this conclusion,1,Slightly confident in this conclusion,1,Moderately confident in this conclusion,62,male,2,0,Field Geoscientist,1,"","","",41,Structural Geology,Associate Professor
1592910272301.json,Alternative,Hypothesis Supported,Very confident in my conclusion,Incorrect,1,1,1,Very confident in this conclusion,0,Very confident in this conclusion,1,Very confident in this conclusion,0,Very confident in this conclusion,30,male,2,0,Field Geoscientist,1,"","","",5,Structural Geology,Postdoctoral
1592911065663.json,Alternative,Hypothesis Not Supported,Very confident in my conclusion,Correct,1,0,0,Slightly confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,1,Moderately confident in this conclusion,33,male,2,0,Field Geoscientist,1,"","","",6,structural geology,unemployed
